Tahun,Luas Areal,Luas TM,Produksi
1983,777193,10142877,305648
1984,894211,10163535,315489
1985,931129,10350551,311398
1986,935199,10515268,356822
1987,961640,10741073,388669
1988,1025947,11037982,391095
1989,1025353,11131913,401048
1990,1062673,11157067,412767
1991,1119854,10784575,428305
1992,1131703,10353848,436930
1993,1157182,10129443,438868
1994,1109935,9801515,450191
1995,1136214,9691493,457801
1996,1131188,9797195,459206
1997,1145136,9829582,428418
1998,1119147,10113826,514451
1999,1094352,10271417,531687
2000,1223671,10718350,554574
2001,1273306,10624816,569234
2002,1321421,10423741,682019
2003,1246949,10294436,671255
2004,1303943,10847339,647386
2005,1255273,10602115,640365
2006,1251096,10728268,682158
2007,1295913,10745156,676476
2008,1295111,10584493,698016
2009,1266236,10460896,682690
2010,1210365,10515013,686921
2011,1233698,9929459,638646
2012,1235290,10320810,691163
2013,1128506,10530372,675882
2014,1230495,10438846,643855
2015,1233227,10711532,639412
2016,1246657,10652258,663871
2017,1238598,10153972,717962
2018,1252826,10584305,756051
